,name,reason,comments
44,000835.SZSE, 商誉占比净资产超100%,长城动漫
45,600898.SSE, 商誉占比净资产超100%,国美通讯
46,600682.SSE, 商誉占比净资产超100%,南京新百
47,002071.SZSE, 商誉占比净资产超100%,长城影视
48,002647.SZSE, 商誉占比净资产超100%,仁东控股
49,002437.SZSE, 商誉占比净资产超100%，36亿减值风险，控股股东质押爆仓，十大股东一半信托，研发人数下降，研发资本化率上升,誉衡药业
50,000697.SZSE, 商誉占比净资产超100%,炼石有色
51,维格娜丝, 商誉占比净资产超100%,维格娜丝
52,002384.SZSE, 商誉不断增大，利润不断下滑,东山精密
53,600525.SSE, 商誉不断增大，利润不断下滑,长园集团
54,600011.SSE, 商誉不断增大，利润不断下滑,华能国际
55,002102.SZSE, 商誉不断增大，利润不断下滑，隐瞒高利贷，关联担保输送利益，减持套现9亿，上市第四年开始扣非净利润连续7年为负，以转型为主业,冠福股份
56,600751.SSE, 商誉在增加，大股东减持5%以上,海航科技
57,600699.SSE, 商誉在增加，大股东减持5%以上,均胜电子
58,600094.SSE, 商誉在增加，大股东减持5%以上,大名城
59,300148.SZSE, 商誉在增加，大股东减持5%以上,天舟文化
60,600157.SSE, 商誉在增加，大股东减持5%以上,永泰能源
61,002434.SZSE, 商誉在增加，大股东减持5%以上,万里扬
62,300008.SZSE, 商誉在增加，大股东减持5%以上,天海防务
63,600654.SSE, 商誉在增加，大股东减持5%以上,st中安
64,002491.SZSE, 商誉在增加，大股东减持5%以上,通鼎互联
65,002342.SZSE, 各种减持，业绩下滑,巨力索具
66,300702.SZSE, 欧洲药管局称生产的药物含有致癌物,天宇股份
67,600074.SSE, 财务造假，现金流一直为负,保千里
68,002490.SZSE, 套路减持，财务造假，监管处罚,山东墨龙
69,000798.SZSE, 并购猫腻，巨额亏损,中水渔业
70,600710.SSE, 主业亏损，财务猫腻,苏美达
71,600812.SSE, 主业亏损，财务猫腻,华北制药
72,300255.SZSE, 大股东套路减持,常山药业
73,300072.SZSE, 财务有问题，经营现金流为负,三聚环保
74,300137.SZSE, 管理混乱，临汾环保事件，3500万收购零收入公司涉嫌利益输送,先河环保
75,000042.SZSE, 会计变更，利润虚增，大股东全部质押,中洲控股
76,601717.SSE, 13年会计变更，调整应收账款计提比例，虚增利润,郑煤机
77,600532.SSE, 信托扎堆,宏达矿业
78,600654.SSE, 提前变更计提比例，为16年储备大的净利润,中安消
79,000898.SZSE, 调整固定资产折旧，虚增利润几十亿,鞍钢股份
80,600010.SSE, 调整固定资产折旧，虚增利润几十亿,包钢股份
81,600804.SSE, 业绩增长疲软，大幅调减折旧，高管半年内集体减持,鹏博士
82,600983.SSE, 重大会计差错，高管频繁调整,惠而浦
83,002715.SZSE, 财务造假，监管处罚,登云股份
84,300208.SZSE, 财务造假，金额巨大，监管处罚,恒顺众昇
85,300431.SZSE, 公司经营持续失血，极度困难,暴风集团
86,600418.SSE, 有雷,江淮汽车
87,002113.SZSE, 重组有猫腻，进展逾期被监管通报,天润数娱
88,002384.SZSE, 和暴风关联很大，巨额应收款,东山精密
89,002426.SZSE, 牛猫有过预警,胜利精密
90,猛狮科技, 主业持续下滑，信托贷款违约，反复业绩修正，控股股东全部质押，控股股东资不抵债，所持股份被轮候冻结；,猛狮科技
91,002667.SZSE, 地处辽宁，虚增收入，忽悠式重组,鞍重股份
92,600250.SSE, 南京国企，出口退税，虚增利润,南纺股份
93,天业股份, 无法审计，立案调查，质押违约，担保违规，借款纠纷,天业股份
94,002306.SZSE, 违规确认收入,中科云网
95,600281.SSE, 山西国企，虚构贸易，虚增收入，年年亏损,太化股份
96,振隆特产, 存货异常，第三方回款,振隆特产
97,步森股份, 虚构银行存款，虚增资产,步森股份
98,600155.SSE, 虚减银行存款，账外账,华创阳安
99,600598.SSE, 阴阳合同，存货跌价巨额计提,北大荒
100,600076.SSE, 虚减所有者权益，关联交易,康欣新材
101,300277.SZSE, 虚构应收账款收回，大股东垫资,海联讯
102,新大地, 虚构资金循环，现金流结构调整,新大地
103,300268.SZSE, 财务造假,佳沃股份
104,002323.SZSE, 虚构海外客户，虚构海外资金循环,雅百特
105,000972.SZSE, 设立空壳公司，虚构购销业务,新中基
106,600575.SSE, 动产差额回购，大宗产业融资托盘,皖江物流
107,002769.SZSE, 业绩一般，股东减持,普路通
108,002252.SZSE, 收入下滑，高商誉爱炒股,上海莱士
109,603168.SSE, 产品无药效，受到广泛质疑,莎普爱思
110,002076.SZSE, 管理混乱，预盈变亏损，现金流持续为负，各种并购,雪莱特
111,603355.SSE, 套路大减持,莱克电气
112,603777.SSE, 财务混乱，2000万应收款去向成迷；,来伊份
113,000732.SZSE, 大股东质押率达97%，经营现金流负,泰禾集团
114,600225.SSE, 大股东质押98%，经营现金流负,天津松江
115,002721.SZSE, 大股东质押84%，扣非净利润下滑严重，经营现金流负，高并购，高商誉，高负债,金一文化
116,600759.SSE, 乱并购，乱投资，扣非利润连亏五年,洲际油气
117,抚顺特钢, 虚增资产，立案调查,抚顺特钢
118,300156.SZSE, 虚增收入,神雾环保
119,000820.SZSE, 虚增收入,神雾节能
120,002011.SZSE, 重组失败，控股股东全部质押，现金流很差,盾安环境
121,002226.SZSE, 重组失败，控股股东全部质押，现金流很差,江南化工
122,002366.SZSE, 关联交易，虚增收入,台海核电
123,湖北宜化, 连续大亏损,湖北宜化
124,双环科技, 连续大亏损,双环科技
125,002069.SZSE, 财务造假,獐子岛
126,603988.SSE, 净利下滑，家族集中持股，连续送转，套路减持,中电电机
127,新海宜, 不务正业，资本运作，开始亏损,新海宜
128,300166.SZSE, 创业板白马股，但大股东质押比例77%及60%，业绩开始下滑,东方国信
129,600079.SSE, 境外巨资收购标的业务下滑严重，经营现金流持续为负，商誉资产65亿，计提风险很大,人福医药
130,600880.SSE, 主业亏损，2017年利润由房地产价值变动支撑,博瑞传播
131,002162.SZSE, 主业亏损，2017年利润由房地产价值变动支撑,悦心健康
132,000806.SZSE, 10年扣非净利润亏损，十年前虚增收入，隐瞒关联交易，主业亏损，2017年利润由房地产价值变动支撑,银河生物
133,600112.SSE, 近6年扣非净利润亏损,天成控股
134,601012.SSE, 重资产重周期，受政策影响很大,隆基股份
135,600887.SSE, 跨省追捕，劣迹斑斑，是非不断,伊利股份
136,300426.SZSE, 演员各种踩雷,唐德影视
137,600207.SSE, 连续亏损,安彩高科
138,600100.SSE, 连续亏损,同方股份
139,300663.SZSE, 连续亏损,科蓝软件
140,002231.SZSE, 连续亏损,奥维通信
141,000545.SZSE, 跨界高溢价巨资55亿并购不良资产,金浦钛业
142,雏鹰农牧, 严重造假；,雏鹰农牧
143,002164.SZSE, 子公司合同诈骗事件致亏损30亿,宁波东力
144,002431.SZSE, 现金流持续为负，还巨额收购,棕榈股份
145,000662.SZSE, 大股东质押爆仓,天夏智慧
146,002002.SZSE, 大股东质押爆仓,鸿达兴业
147,000980.SZSE, 65亿商誉，经营下滑，未完成业绩承诺，商誉有减值风险，业务发展远低于预期,众泰汽车
148,000518.SZSE, 25年重组专业户，频繁变换大股东，大股东全部质押,四环生物
149,002147.SZSE, 捏造23亿扣非净利润,新光圆成
150,603389.SSE, 16年底上市，18年上半年营收下滑，净利润开始亏损，为近八年首次，近九成子公司亏损,亚振家居
151,002131.SZSE, 业务混乱，虚增收入，董事长内幕交易，23亿收购微信公众号，经营现金流持续为负,利欧股份
152,300266.SZSE, 政府生意，现金流持续为负，债务高企，高比例质押,兴源环境
153,000673.SZSE, 现金流持续为负+高比例质押+连环并购,当代东方
154,000576.SZSE, 玩壳七载，主业频变，净利润持续及经营现金流持续为负，回款慢，行业话语权很弱,广东甘化
155,002621.SZSE, 并购形成较大金额商誉,三垒股份
156,600290.SSE, 股东信托扎堆，公司财务耍猫腻，16年前三季度公司盈利3000万，17年4月公告16年亏损4700万，而且公司未按照上交所规定提前进行业绩变动预告,华仪电气
157,603032.SSE, 信托扎堆，一上市业绩就变脸，营收净利润都大幅下滑，实控人温州大佬胡成中，也是广东甘化控制人，减持套现,德新交运
158,600614.SSE, 公司及实控人涉及借款纠纷68件，银行账户被冻结还公告不清楚具体原因，不动产被查封，违规担保，发不出工资，股份被冻结，忽悠式增持,鹏起科技
159,600256.SSE, 商誉过百亿,广汇能源
160,603568.SSE, 有问题，毛利比行业偏高，会计动手脚,伟明环保
161,600868.SSE, 长期没有实际控制人，散户持有，董监高制定薪酬漏洞掏空上市公司,梅雁吉祥
162,002617.SZSE, 新能源及光伏行业，并购标的猫腻太明显，近两年经营现金流为负，负债率攀升，长短期借款均大幅走高，公司有10亿资产涉及抵押质押及冻结，实控人股份全数质押,露笑科技
163,300676.SZSE, 业务有问题，没有核心技术,华大基因
164,000039.SZSE, 业务多元，难以预测，估值打折,中集集团
165,600226.SSE, 38亿收购微信公众号,瀚叶股份
166,600146.SSE, 不停并购重组，99年上市至今现金分红为0，扣非净利润连续亏损,商赢环球
167,002239.SZSE, 公司混乱，银行账户冻结，公司印章和法人章伪造，跨行业大额并购，财务猫腻，扣非净利润开始下滑,奥特佳
168,002143.SZSE, 品牌推广及影视行业，大股东套现24亿，质押套现10亿，目前股份被司法冻结（可能是故意的，避免被爆仓），另一位大股东套现10亿，利润都是假的，应收账款不断增加，超高租金租大股东房产,印纪传媒
169,002292.SZSE, 各种并购重组，规模大已失控，高商誉，实控人套现36亿,奥飞娱乐
170,600249.SSE, 主业萎靡，多元化失败，连连亏损,两面针
171,002571.SZSE, 扣非净利润持续为负，并购财务造假,德力股份
172,300364.SZSE, 集体减持，扣非净利润持续为负，商誉计提风险,中文在线
173,002445.SZSE, 违规担保，实控人违规占用上市公司资金，频繁并购，业绩变脸，商誉计提风险较高,中南文化
174,002576.SZSE, 主业萎靡，净利开始亏损，各种卖壳失败,通达动力
175,600240.SSE, 公司制度不完善，风控体系不健全，转型医疗健康却被被二股东掏空100亿,华业资本
176,600666.SSE, 关联交易，虚增收入,奥瑞德
177,002118.SZSE, 连续财务造假,紫鑫药业
178,002512.SZSE, 并购标的皆奇葩，大股东疯狂套现38亿，高管更迭频繁，经营现金流一直为负，应收账款和预付账款历年递增，对外不断投钱，标准骗子公司,达华智能
179,002602.SZSE, 71亿高商誉，业绩由并购驱动，游戏业务受监管影响,世纪华通
180,000018.SZSE, 债务逾期，大股东全部质押且被司法冻结，在柬埔寨项目风险大，虚假工程，大笔预付款流向大股东关联方,神州长城
181,300116.SZSE, 2017年巨亏37.3亿，控股股东所持股份被司法冻结,坚瑞沃能
182,康美药业, 四度卷入贪腐案件，货币资金有猫腻，存货有猫腻，大股东全部质押,康美药业
183,000802.SZSE, 上市20年至2010年时扣非累计亏损1.72亿元，各种打监管擦边球资本运作不务正业，近十亿购买空壳公司，大股东套现近十亿,北京文化
184,300027.SZSE, 各种资本运作输送利益，高商誉，股东减持，盈利很差,华谊兄弟
185,002442.SZSE, 大股东全部质押，控股股东累计套现20多亿，无心主业，想搞资本运作,龙星化工
186,300106.SZSE, 外延并购，子公司经营不善，上市以来利润持续下滑，16年17年18年上半年持续亏损，企业管理不行，流动负债逐年增加,西部牧业
187,002735.SZSE, 经营业绩不断下滑，总想跨界并购，曾尝试蛇吞象,王子新材
188,300050.SZSE, 上市后业绩不断下滑，并购标的承诺期过后业绩立马跳水，频繁跨界乱并购,世纪鼎利
189,300688.SZSE, 控股股东限售解禁压线大比例减持，营收净利润不断放缓,创业黑马
190,002584.SZSE, 多起跨行业并购收效甚微，并购标的业绩非常惨淡，高管更迭频繁，大股东忙于减持及高比例质押,西陇科学
191,002413.SZSE, 每年常规动作，上市公司在收购，控股股东在减持，管理层在辞职，不时改名及出售原主营业务，10年至14年大股东减持19亿，而上市公司创利仅3亿，目前现金流很差，目前商誉达17亿，减值迹象明显，过度使用股权激励,雷科防务
192,000040.SZSE, 东旭系，宝安地产转光伏，主营业务发展暗淡，光伏投资容易烧钱，现金流差，净利润差，债务压力比较大，控股股东全部质押,东旭蓝天
193,000413.SZSE, 东旭系，大股东高比例质押，商誉28亿,东旭光电
194,002486.SZSE, 东旭系，大股东高比例质押,嘉麟杰
195,600771.SSE, 客户即股东，大股东侵占，虚增收入,广誉远
196,华闻传媒, 97年上市至今3次更名，4次更换实控人，高溢价并购，结果并购子公司纷纷业绩变脸，15年商誉达到了28亿，17年商誉计提7亿损失，控股股东股份被司法冻结触及平仓线被动减持，深交所问询，公司忽悠式回答,华闻传媒
197,002519.SZSE, 机顶盒、智能机电和新能源汽车零部件，三大业务营收与利润下降，利润与现金流变动差异，募投项目变更，9亿并购业绩不达标，商誉减值，高管减持，,银河电子
198,002573.SZSE, 烟气治理，高度依赖国家政策，资本密集型，公司货币资金很少，经营现金流开始为负，利润开始下滑,清新环境
199,300004.SZSE, 公司实控人失联，所持股份触及平仓风险，大股东家族连续套现11.69亿，现金流奇差，扣非净利润大幅亏损，并购形成9.47亿高商誉，减值风险很大,南风股份
200,002700.SZSE, 主营及扣非净利润持续下滑，控股股东全部质押融资开发地产，前期拉涨翻倍是因为画了巨额并购重组大饼,新疆浩源
201,002740.SZSE, 珠宝设计销售，扣非净利润持续下滑，高管薪酬大幅提高，各种减持套现，不断尝试并购重组,爱迪尔
202,002751.SZSE, 扣非净利润暴跌，巧设子公司，避免亏损ST,易尚展示
203,300296.SZSE, 并购商誉27亿，业绩虽好但是净利润现金量含量很低，三分之二是纸面财富，存货巨大但是计提比例很低,利亚德
204,002418.SZSE, 上市后业绩不断下滑至亏损，之前并购重组利益输送套现4.8亿，之后想联合中植尝试并购重组利益输送,康盛股份
205,600371.SSE, 东北农业种子公司，业绩不稳定，现金流差，财报有猫腻，存货减值该减不减,万向德农
206,万家乐, 董事长失联，主要控股子公司被查封，银行账户被冻结，业务无法开展，人去楼空,万家乐
207,000735.SZSE, 扣非净利润亏损，通过财技实现大幅盈利，大股东套路减持5亿元,罗牛山
208,千山药机, 被深交所点名批评炒作股价，年报不能及时披露,千山药机
209,600649.SSE, 主业地产没搞好没赶上大行情成了鸡肋，靠各种股权投资来当业绩遮羞布,城投控股
210,300310.SZSE, 物联网加智慧医疗，债务危机，高溢价转型并购形成商誉7.5亿，结果标的公司问题重重而且业绩下滑严重,宜通世纪
211,002359.SZSE, 通讯配套行业，无线宽带物联，可视指挥，移动会议，乱重组还涉及境外诉讼，高商誉，债务逾期，股东爆仓司法冻结，上市8年利润持续下滑，超额担保,北讯集团
212,威化股份, 上市以来经营不稳定，经常亏损，大股东利用并购重组套路减持近9亿，16年17董监高离职，套路重组变更实控人及主业，目前现金流很差,威化股份
213,002694.SZSE, 主营塑料管道研发生产销售，12年上市后扣非净利润大幅下滑，之后更换大股东，各种资本运作，目前扣非已是亏损，实控人涉嫌信批违规被证监会立案调查,顾地科技
214,300682.SZSE, 为国家电网及相关企业提供产品和服务，高度依赖客户。上市仅一年，净利就暴亏，经营现金流恶化，股权激励条件过于宽松，并购猫腻多,朗新科技
215,002183.SZSE, 财务不规范，16年遭深交所处罚,怡亚通
216,300526.SZSE, 扣非净利润15年后持续下滑，子公司多数亏损，18年业绩下滑厉害，开始酝酿资本运作，多个并购标的都是问题多多,中潜股份
217,000504.SZSE, 上市26年各种亏损各种保壳各种重组,南华生物
218,000659.SZSE, 96年上市，饮料包装瓶公司，亚洲第一，可口可乐百事可乐怡宝中粮都是其客户。大股东用心掏空上市公司加经营不善，经常亏损经常戴帽，为了摘帽涉嫌违反证券法律法规被证监会立案调查，各种财技搞利润，公司现金流很差，负债较多,珠海中富
219,000587.SZSE, 乱搞资本运作，卖出现金牛子公司，买入垃圾公司，审计各种问题，财务造假，巨额商誉,金洲慈航
220,300090.SZSE, 债务违约,盛运环保
221,600896.SSE, 11年以来扣非净利润持续亏损,览海投资
222,600566.SSE, 儿童药有问题,济川药业
223,康得新, 货币资金有问题,康得新
224,000519.SZSE, 虚增收入，虚增利润，被证监会通报,中兵红箭
225,002813.SZSE, 经营车载导航，营收下滑，经营现金流持续为负，毛利率急剧下降，净利润大幅亏损，靠短期借款支撑现金流,路畅科技
226,603056.SSE, 物流，增速下滑严重,德邦股份
227,600260.SSE, 2000年上市以来多次变换主业，客户与供应商相同，通过预付账款加存货模式虚增利润，现金流很差，在P2P平台融资，大股东全部质押,凯乐科技
228,002291.SZSE, 业绩大洗澡，虚增利润,星期六
229,000792.SZSE, 业绩大洗澡，虚增利润,盐湖股份
230,000939.SZSE, 虚增资产，关联交易，虚增利润,凯迪生态
231,龙力生物, 表外负债，并购两家互联网公司研发费用资本化，虚增利润,龙力生物
232,002509.SZSE, 关联交易，虚增收入,天广中茂
233,002018.SZSE, 关联交易，虚增收入,华信国际
234,000408.SZSE, 关联交易，虚增收入,藏格控股
235,600177.SSE, 可供出售金融资产变更为长期股权投资，虚增利润,雅戈尔
236,600485.SSE, 关联交易，虚增利润,信威集团
237,002473.SZSE, 为保壳虚增收入,圣莱达
238,300182.SZSE, 版权运营，内容制作，音视频技术，教育信息化，上市以来持续并购，母公司主业持续下滑至亏损，目前商誉55亿，并购标的精准完成业绩承诺后业绩开始下滑，公司目前高负债，货币资金很少,捷成股份
239,锦江股份, 商誉115亿,锦江股份
240,002382.SZSE, 商誉65亿，占净资产83%,蓝帆医疗
241,600319.SSE, 主营化工产品，08年后一路亏损，9年9换董事长，占用资金，立案调查，各种乱七八糟的事情，债务逾期，各种减持,亚星化学
242,300238.SZSE, 各种题材，再生医学、免疫细胞、健康中国，原股东减持套现15亿，并购标的各种亏损,冠昊生物
243,002585.SZSE, 上市以来毛利净利持续走低，扣非净利润越来越少，并购标的各种套路，大股东各种套现,双星新材
244,西藏发展, 多次涉嫌信批违规，多次隐瞒关联交易，随意更改实际控制人，11.3亿萝卜章担保,西藏发展
245,002045.SZSE, 业绩变脸，不怀好心,国光电器
246,毅昌股份, 业绩变脸，不怀好心,毅昌股份
247,002665.SZSE, 光热太阳能领域，17年完成40亿融资，结果发展缓慢，业绩变脸，大股东大比例质押面临平仓风险,首航节能
248,300392.SZSE, 互联网营销服务行业，业绩变脸，质押爆仓，实控人想转让，连续亏损，存款被冻结，行贿上市，各种折腾,腾信股份
249,300292.SZSE, 一上市业绩就大幅下滑，开始车轮并购，商誉16亿，10 转30打掩护，董监高25次减持套现20亿,吴通控股
250,603016.SSE, 一上市 就开始折腾资本运作，标的公司估值过高，扣非净利润无增长，经营现金流断崖式下跌，三四股东开始减持,新宏泰
251,600745.SSE, 上市20年，几经易主，几次更名，主业无定数，转型时时有，一直未成功，目前资产恶化，300亿并购猫腻太多,闻泰科技
252,000534.SZSE, 扣非净利润多年为负,万泽股份
253,香飘似, 奶茶，上市业绩开始变差，增收不增利，扣非净利润开始亏损,香飘似
254,300442.SZSE, 股东创投公司较多，大比例减持，业绩较差,普丽盛
255,300256.SZSE, 生产亚克力手机防护屏(老式手机)，依赖诺基亚，业绩下滑，之后各种资本运作，标的公同业绩不达标，商誉较大，大股东全额质押，高管减持，号召员工持股,星星科技
256,600393.SSE, 广州地产，上市以来业绩- - 直比较差，控股股东外债逾期导致持股冻结，高质押，员工持股严重亏损,粤泰股份
257,600234.SSE, 历史大股东或被判刑或陷入债务危机，上市以来各种折腾，各种转型,山水文化
258,000526.SZSE, 商誉15.27亿，是净资产11倍,紫光学大
259,金字车城, 房地产开发，商誉3亿，是净资产两倍，18 年前三季度亏损,金字车城
260,000606.SZSE, 计算机应用，商誉42亿，是净资产1.3倍，占总资产70%,顺利办
261,002316.SZSE, 商誉8.6亿， 与净资产相当,亚联发展
262,603598.SSE, 商誉5.9亿，与净资产相当,引力传媒
263,300459.SZSE, 商誉63亿，与净资产相当,金科文化
264,600136.SSE, 影视行业，商誉37亿，与净资产相当,当代明诚
265,300071.SZSE, 营销传播，商誉8亿，与净资产相当,华谊嘉信
266,601919.SSE, 原中国远洋，商誉59亿，占净资产10%,中远海控
267,000981.SZSE, 房地产开发，商誉72亿，占净资产43%,银亿股份
268,002044.SZSE, 体检，营收亮眼是由于频繁外延并购，商誉46亿占净资产67%,美年健康
269,002373.SZSE, 商誉33亿，占净资产40%,千方科技
270,000540.SZSE, 房地产开发，商誉54亿,中天金融
271,603603.SSE, 股东投资公司较多，清仓式减持,博天环境
272,600576.SSE, 原万家文化,祥源文化
273,300312.SZSE, 股东创投公司较多，拟大比例减持，业绩较差,邦讯技术
274,300598.SZSE, 股东创投公司较多，大比例减持，业绩较差,诚迈科技
275,603990.SSE, 股东创投公司教多，大比例减持，业绩较差,麦迪科技
276,迪威讯, 股东创投公司较多，大比例减持，业绩较差,迪威讯
277,603987.SSE, 股东创投公司较多，大比例减持，业绩较差,康德莱
278,300608.SZSE, 股东创投公司较多，大比例减持，业绩较差,思特奇
279,300592.SZSE, 股东拟大比例减持，业绩较差,华凯创意
280,600129.SSE, 经常亏损，现金流持续为负,太极集团
281,品瑞股份, 原始股东各种减持，业绩-一般,品瑞股份
282,002708.SZSE, 汽车精密轴承，上市后业绩不断下滑，扣非净利润持续下滑，资本运作水份太大，大股东高比例质押，上市四年开始卖壳,光洋股份
283,300345.SZSE, 耐磨铸件产品，上市6年利润从未超越上市前，最终卖壳,红宇新材
284,东方新星, 石油化工，上市前业绩不错，上市后几乎面临倒闭，上市三年即卖壳,东方新星
285,603838.SSE, 潮州陶瓷公司，15年上市至今各种折腾卖壳,四通股份
286,000995.SZSE, 财务造假，经常亏损。经常或帽，官司缠身，诉讼不断，退市边缘,皇台酒业
287,庞大集团, 控股股东股权质押、冻结，卖资产断臂瘦身，上市以来投资活动现金流超百亿，扣非净利润经常为负,庞大集团
288,新大洲A, 公司主业乱七八糟，各种转型，各种问题,新大洲A
289,002264.SZSE, 福建商超零售，在商超上市公司中业绩指标垫底，主营不温不火，业绩连续五年亏损，一直在保壳边缘挣扎,新华都
290,002343.SZSE, 违规减持,慈文传媒
291,600695.SSE, -直卖地卖子公司卖股票，变卖资产保壳多年,绿庭投资
292,000622.SZSE, 主营汽车空调和金属材料贸易，主业连续亏损15年，其中经历了5次变更实控人、3次卖壳、多次重组失败,恒立实业
293,600209.SSE, 开酒店及酒店装修，近年来持续亏损，经营慘淡，退市边缘,罗顿发展
294,600891.SSE, 各种问题，铁帽子王,秋林集团
295,天圣制药, 多位高管接连出事，离职，刑事拘留等等,天圣制药
296,000611.SZSE, 经常亏损，现金流很差，各种折腾转型，全部失败,天首发展
297,002219.SZSE, 业绩较差，现金流较差，各种收购，负债较大，大股东高比例质押，目前股份已被冻结，管理层不稳定,恒康医疗
298,600139.SSE, 现金流变差,西部资源
299,002622.SZSE, 搞P2P被立案调查,融钰集团
300,300111.SZSE, 光伏行业，业绩亏损严重，上市三年业绩下滑严風，三年后限售解禁各种套路利好在股价大涨三倍后减持25亿，目前公司在折腾并购转型,向日葵
301,002501.SZSE, 高端装备，轨道车辆制造，业绩大变脸，先预测盈利后又亏损，定增项目实际投入远大f募集资金投入，实控人涉及债务纠纷，股份被冻结，公司部分银行账户被冻结，公司近三年偿债压力很大，财务费用巨大，近五年现金流持续为负,利源精制
302,300518.SZSE, 游戏软件开发，业绩变脸，财务数据异常，大股东全部质押，股东信托扎堆，减持套现，巨额溢价并购,盛讯达
303,002862.SZSE, 股东信托扎堆，这些信托和盛讯达一样,实丰文化
304,002356.SZSE, 业绩很差，股东有问题,赫美集团
305,索菱股份, 车载导航，15年上市，16 年重大资产重组，商誉5. 13亿，目前上市公司和大股东都深陷债务危机。扣非净利润开始亏损，现金流不断下滑，倡导员工增持,索菱股份
306,002147.SZSE, 07 年上市一直主业不振，原董监高全部减持，后高溢价重组转型房地产，18年继续高溢价重组转型，大股东全部质押，蹂躪会计准则，捏造23亿扣非利润,新光圆成
307,000567.SZSE, 94年上市，两次濒临退市，四次易主，目前再次迷茫，18年3月定增，大股东全部认购，结果7月份宜布大股东股份被司法冻结，目前大股东全部质押,海德股份
308,603030.SSE, 上海住宅装修，通过变更坏账计提，增加收入及利润，18年中报应收账款34亿，坏账准备仅2000万，公司收入确认不合理，存在较大的操纵空间,全筑股份
309,002657.SZSE, 金融软件开发，董监高不稳定各种减持，高溢价收购，标的公司业绩卡点变脸，商誉大减值导致巨号，喊口号式转型，人工智能大数据云服务区块链等，分步收购调节利润，大股东全部质押,中科金财
310,300086.SZSE, 儿童医药，高溢价收购涉嫌利益输送，各种收购进而败掉超募11亿资金，减持套现大额资金,康芝药业
311,002765.SZSE, 并购形成较大金额商誉,蓝黛传动
312,德豪润达, 小家电+LED， 其中小家电没有自己品牌，上市以来各种融资80亿，但经营始终惨淡，扣非净利润自12年开始连续亏损，目前偿债能力依旧不足，流动比率0.96,德豪润达
313,600405.SSE, 04年上市，通信电源及新能源汽车电源，公司现金流经常为负，现阶段可供企业自由支配的现金流仍是负值,动力源
